#{"t_start": 1699932021.0722895, "env_id": null}
r,l,t
186.483628,300,5.440777
266.147194,300,6.274867
197.81605,300,7.12081
289.397561,300,7.954276
83.723089,300,8.788712
356.444705,300,9.621931
173.005777,300,11.947605
96.792331,300,12.781945
358.850777,300,13.61712
214.614977,300,14.449312
176.932856,300,15.282616
360.155447,300,16.116574
257.995457,300,16.95329
222.560241,300,19.332093
150.198423,300,20.176164
250.013015,300,21.010009
268.133508,300,21.844239
282.554865,300,22.679201
130.765139,300,23.689576
263.698699,300,24.79298
141.954834,300,27.370083
160.304949,300,28.203659
431.455619,300,29.037818
205.648335,300,29.870728
204.065615,300,30.70594
282.36454,300,31.538748
150.19329,300,32.384762
33.567714,300,34.663297
308.390086,300,35.49737
296.639338,300,36.331146
265.770494,250,37.032145
218.574642,300,37.869189
240.602238,300,38.70305
394.461813,300,39.536635
470.510838,300,41.679369
200.471951,300,42.512721
330.105231,300,43.347046
364.950016,300,44.1798
313.192253,300,45.016822
415.281744,300,45.847478
164.499412,300,46.681474
164.143322,300,49.164555
372.527726,300,50.011742
331.942016,300,50.844821
256.414308,238,51.500873
136.078231,300,52.336169
374.788308,300,53.18307
433.410068,300,54.016526
183.488446,300,56.390795
190.263454,300,57.224153
327.681294,300,58.059188
381.163862,300,58.891423
323.443154,300,59.725731
320.976889,300,60.558619
355.10917,300,62.95522
252.926328,300,63.778849
242.065846,300,64.612972
328.59281,300,65.446436
243.930034,300,66.292981
268.426427,300,67.126402
355.486975,300,67.960502
184.89,300,70.188775
189.655543,300,71.022842
387.99064,300,71.856377
211.462319,300,72.690371
202.466187,300,73.523813
322.581211,300,74.358152
158.29189,300,75.191432
322.63769,300,77.575321
223.605809,300,78.41003
385.806807,300,79.25484
337.286887,300,80.088409
431.829051,300,80.923076
419.501888,300,81.755823
224.820487,300,82.590306
149.662673,300,84.990156
262.315113,300,85.823782
289.065476,300,86.657353
369.050249,300,87.493359
229.289942,300,88.32484
378.168403,300,89.158438
430.163289,300,89.992399
320.131406,300,92.278933
297.276744,300,93.112305
375.382056,300,93.946635
452.862239,300,94.780756
221.282262,300,95.614831
222.245625,300,96.447713
283.698261,300,97.281811
338.672982,300,99.72231
245.25813,300,100.555989
215.882237,300,101.389616
165.069311,300,102.224085
201.019819,300,103.057059
226.789791,300,103.903364
232.037195,300,106.430589
294.093381,300,107.264772
333.914106,300,108.098751
298.721342,300,108.93265
375.151732,300,109.766432
320.343464,300,110.600053
170.328733,300,111.433397
413.606554,300,113.886011
416.213447,300,114.719864
339.058391,300,115.554095
159.32116,300,116.388222
225.049422,300,117.233576
228.883164,300,118.06799
214.268564,300,118.901583
457.805478,300,121.337273
278.982447,300,122.1712
313.454968,300,123.004742
386.026528,300,123.838643
343.669807,300,124.672196
377.26699,300,125.50598
365.703443,300,126.339634
343.328583,300,128.77204
212.660628,300,129.605613
146.585366,300,130.452525
296.389253,300,131.285874
470.06384,300,132.12043
420.52707,300,132.953281
367.822337,300,133.787429
371.530936,300,136.213983
259.394776,300,137.048059
295.760477,300,137.881398
325.488575,300,138.714831
205.985931,300,139.553449
200.072572,300,140.382359
374.235648,300,141.21664
171.910406,300,143.627029
334.16905,300,144.460533
400.968411,300,145.294546
385.987379,300,146.127807
299.880651,300,146.961753
394.103553,300,147.795253
207.933561,300,150.199325
233.098575,300,151.032829
379.66309,300,151.866457
309.338279,300,152.699726
427.296083,300,153.533369
228.119145,300,154.367592
360.036632,300,155.213743
280.232601,300,157.707155
254.932681,300,158.542231
210.253092,300,159.375141
285.142605,300,160.208935
330.938375,300,161.042371
198.772917,300,161.876982
299.654321,300,162.709871
459.386926,300,165.115105
362.299014,300,165.94889
446.555244,300,166.78573
433.365422,300,167.616419
423.400183,300,168.462971
421.057934,300,169.296374
396.528049,300,170.130691
384.33361,300,172.595326
322.825381,300,173.429026
294.13746,300,174.262319
423.136763,300,175.096414
250.102848,300,175.929901
196.482996,300,176.764103
289.664626,300,177.598698
84.815841,300,179.817914
316.204223,300,180.651273
424.953758,300,181.497892
251.899024,300,182.331481
358.338963,300,183.165574
364.180868,300,183.999306
340.42729,300,184.833213
308.074342,300,187.296142
254.764477,300,188.130213
223.030522,300,188.963804
444.462334,300,189.797843
411.22459,300,190.630908
205.214449,300,191.465321
199.485551,300,193.720078
268.696426,300,194.566807
243.148564,300,195.399806
387.843482,300,196.234243
248.28337,300,197.067735
341.178604,300,197.901646
339.683331,300,198.735173
249.421621,300,200.582711
380.10954,300,201.416783
160.695291,300,202.250751
385.175034,300,203.083717
144.011583,300,203.917897
347.147834,300,204.751848
443.238903,300,205.597995
239.361504,300,207.997243
260.907841,300,208.831619
396.316527,300,209.665003
332.896791,300,210.499059
168.86818,300,211.331995
203.121615,300,212.166968
359.080779,228,212.802132
