#{"t_start": 1699923301.6315362, "env_id": "CartPole-v1"}
r,l,t
19.0,19,0.489239
33.0,33,0.504502
12.0,12,0.51
29.0,29,0.522974
21.0,21,0.532483
26.0,26,0.544166
12.0,12,0.54962
19.0,19,0.558118
52.0,52,0.581225
29.0,29,0.594355
10.0,10,0.598916
25.0,25,0.610263
20.0,20,0.620872
16.0,16,0.629018
26.0,26,0.64243
40.0,40,0.660864
34.0,34,0.676457
13.0,13,0.682478
14.0,14,0.688705
72.0,72,0.721002
15.0,15,0.727839
12.0,12,0.733206
22.0,22,0.742938
16.0,16,0.750176
15.0,15,0.756806
31.0,31,0.770908
21.0,21,0.780332
14.0,14,0.786769
17.0,17,0.794269
21.0,21,0.803587
14.0,14,0.809789
22.0,22,0.819584
62.0,62,0.848551
20.0,20,0.857836
20.0,20,0.867019
14.0,14,0.873403
21.0,21,0.882894
32.0,32,0.89731
24.0,24,0.908123
17.0,17,0.915959
17.0,17,0.923657
35.0,35,0.939528
19.0,19,0.948269
26.0,26,0.960061
17.0,17,0.968313
35.0,35,0.985176
27.0,27,0.998239
11.0,11,1.003706
56.0,56,1.029351
17.0,17,1.036995
19.0,19,1.045339
25.0,25,1.056348
26.0,26,1.067914
17.0,17,1.075568
15.0,15,1.082265
14.0,14,1.088655
27.0,27,1.105916
27.0,27,1.119284
10.0,10,1.124452
22.0,22,1.137822
15.0,15,1.145218
20.0,20,1.155472
30.0,30,1.169729
16.0,16,1.177505
12.0,12,1.183211
46.0,46,1.205663
13.0,13,1.211727
48.0,48,1.235173
28.0,28,1.249512
19.0,19,1.259048
24.0,24,1.271857
22.0,22,1.283818
19.0,19,1.293184
11.0,11,1.298397
16.0,16,1.306403
27.0,27,1.319326
11.0,11,1.325093
19.0,19,1.334659
35.0,35,1.353241
39.0,39,1.372641
27.0,27,1.385394
20.0,20,1.394719
28.0,28,1.408896
22.0,22,1.419507
30.0,30,1.433422
12.0,12,1.439186
15.0,15,1.446477
11.0,11,2.365756
16.0,16,2.373403
13.0,13,2.37951
14.0,14,2.386372
19.0,19,2.395295
25.0,25,2.406759
27.0,27,2.41913
24.0,24,2.430184
71.0,71,2.461848
30.0,30,2.475343
34.0,34,2.49232
14.0,14,2.49935
32.0,32,2.514736
39.0,39,2.533769
13.0,13,2.540583
15.0,15,2.548921
45.0,45,2.570523
25.0,25,2.582699
33.0,33,2.599101
29.0,29,2.613299
13.0,13,2.619433
8.0,8,2.623254
22.0,22,2.634212
23.0,23,2.645733
64.0,64,2.676469
26.0,26,2.689881
15.0,15,2.697978
33.0,33,2.714335
21.0,21,2.725263
33.0,33,2.742051
49.0,49,2.767847
16.0,16,2.776455
21.0,21,2.786327
23.0,23,2.798065
47.0,47,2.822524
70.0,70,2.857234
26.0,26,2.87
37.0,37,2.887595
17.0,17,2.89645
29.0,29,2.912418
19.0,19,2.921393
10.0,10,2.92677
15.0,15,2.933718
24.0,24,2.94628
12.0,12,2.952053
37.0,37,2.973433
31.0,31,2.990937
41.0,41,3.014487
33.0,33,3.033388
26.0,26,3.047567
34.0,34,3.065722
78.0,78,3.107968
36.0,36,3.126438
55.0,55,3.154794
34.0,34,3.172062
39.0,39,3.192482
15.0,15,3.200497
40.0,40,3.220036
39.0,39,3.239459
14.0,14,3.246735
22.0,22,3.258204
30.0,30,3.272994
17.0,17,3.281767
39.0,39,3.301845
23.0,23,3.313233
10.0,10,3.318574
11.0,11,3.324327
21.0,21,3.334909
20.0,20,3.34433
30.0,30,3.359379
23.0,23,3.371018
15.0,15,3.378987
31.0,31,3.39457
65.0,65,4.337949
24.0,24,4.349398
26.0,26,4.361464
30.0,30,4.375285
26.0,26,4.387035
19.0,19,4.395623
44.0,44,4.415477
20.0,20,4.424591
22.0,22,4.434553
47.0,47,4.455784
114.0,114,4.506541
25.0,25,4.517693
